timestamp,src_ip,dst_ip,protocol,length
2025-06-19 16:52:55.623197,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:52:55.856532,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:52:56.355404,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:52:56.574589,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:52:57.390305,192.168.1.14,224.0.0.251,17,103
2025-06-19 16:53:11.622513,192.168.1.20,172.188.215.153,6,55
2025-06-19 16:53:11.625548,172.188.215.153,192.168.1.20,6,66
2025-06-19 16:53:11.629130,192.168.1.20,188.138.125.57,6,66
2025-06-19 16:53:12.245161,188.138.125.57,192.168.1.20,6,58
2025-06-19 16:53:12.352561,192.168.1.20,188.138.125.57,6,66
2025-06-19 16:53:12.358460,188.138.125.57,192.168.1.20,6,58
2025-06-19 16:53:12.536425,192.168.1.20,188.138.125.57,6,66
2025-06-19 16:53:12.568247,188.138.125.57,192.168.1.20,6,58
2025-06-19 16:53:12.580698,192.168.1.20,188.138.125.57,6,66
2025-06-19 16:53:12.585727,188.138.125.57,192.168.1.20,6,58
2025-06-19 16:53:12.588677,192.168.1.20,188.138.125.57,6,66
2025-06-19 16:53:12.592819,188.138.125.57,192.168.1.20,6,58
2025-06-19 16:53:12.598711,192.168.1.4,224.0.0.251,17,327
2025-06-19 16:53:12.607701,192.168.1.4,224.0.0.251,17,100
2025-06-19 16:53:12.615221,192.168.1.4,224.0.0.251,17,236
2025-06-19 16:53:12.626861,192.168.1.4,224.0.0.251,17,236
2025-06-19 16:53:12.636510,192.168.1.4,224.0.0.251,17,236
2025-06-19 16:53:12.650587,192.168.1.4,224.0.0.251,17,327
2025-06-19 16:53:12.658605,192.168.1.4,224.0.0.251,17,100
2025-06-19 16:53:12.667224,192.168.1.4,224.0.0.251,17,417
2025-06-19 16:53:12.683858,192.168.1.4,224.0.0.251,17,417
2025-06-19 16:53:12.724773,192.168.1.4,224.0.0.251,17,669
2025-06-19 16:53:12.740938,192.168.1.21,224.0.0.251,17,103
2025-06-19 16:53:12.749561,192.168.1.4,224.0.0.251,17,100
2025-06-19 16:53:12.757397,192.168.1.4,224.0.0.251,17,130
2025-06-19 16:53:12.783425,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:53:12.788374,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:53:12.792362,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:53:12.798383,13.107.6.158,192.168.1.20,6,58
2025-06-19 16:53:12.802385,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:53:12.817395,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:53:12.880370,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:53:12.979154,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:53:12.982706,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:53:12.985634,192.168.1.20,188.138.25.13,6,66
2025-06-19 16:53:13.166313,188.138.25.13,192.168.1.20,6,58
2025-06-19 16:53:18.564121,192.168.1.14,224.0.0.251,17,103
2025-06-19 16:53:18.570708,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:18.575692,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:18.993366,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:19.202368,188.138.125.61,192.168.1.20,6,58
